16:35:47: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 47] Logger initialized
16:35:51: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 6.0, 0.2)
16:35:51: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 116.56505117707798
16:35:52: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
16:35:52: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 45.0
16:35:52: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
16:35:52: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 63.434948822921996
16:35:53: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
16:35:53: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 90.0
16:35:53: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
16:35:53: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 26.565051177077976
16:35:54: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
16:35:54: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 45.0
16:35:54: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (3.75, 0.0, 0.125)
16:35:55: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 90.0
16:35:55: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
16:35:55: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 45.0
16:35:56: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
16:35:56: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 90.0
16:35:56: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.10526315789473684)
16:35:56: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 135.0
16:35:57: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 1.0, 0.1)
16:35:57: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -26.565051177077976
16:35:57: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
16:35:57: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -45.0
16:35:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
16:35:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -90.0
16:35:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
16:35:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -45.0
16:35:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
16:35:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -90.0
16:35:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (2.4, 2.4, 0.08)
16:35:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -135.0
16:36:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
16:36:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -63.434948822921996
16:36:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
16:36:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -90.0
16:36:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
16:36:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -116.56505117707798
16:36:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
16:36:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -45.0
16:36:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
16:36:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -63.43494882292201
16:36:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.06451612903225806)
16:36:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: -90.0
